who	_whoWP
plays	_playVVZ
luke	B-character.name
on	_onIN
star	B-movie.name
wars	I-movie.name
new	I-movie.name
hope	I-movie.name
	
show	_showNN
credits	_creditNNS
for	_forIN
the	B-movie.name
godfather	I-movie.name
	
who	_whoWP
was	_beVBD
the	_theDT
main	_mainJJ
actor	_actorNN
in	_inIN
the	B-movie.name
exorcist	I-movie.name
	
find	_findVV
the	_theDT
female	_femaleJJ
actress	_actressNN
from	_fromIN
the	_theDT
movie	_movieNN
she	B-movie.name
's	I-movie.name
the	I-movie.name
man	I-movie.name
	
who	_whoWP
played	_playVVD
dory	B-character.name
on	_onIN
finding	B-movie.name
nemo	I-movie.name
	
who	_whoWP
was	_beVBD
the	_theDT
female	_femaleJJ
lead	_leadNN
in	_inIN
resident	B-movie.name
evil	I-movie.name
	
who	_whoWP
played	_playVVD
guido	B-character.name
in	_inIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
who	_whoWP
was	_beVBD
the	_theDT
co-star	_co-starNN
in	_inIN
shoot	B-movie.name
to	I-movie.name
kill	I-movie.name
	
find	_findVV
the	_theDT
guy	_guyNN
who	_whoWP
plays	_playVVZ
charlie	B-character.name
on	_onIN
charlie	B-movie.name
's	I-movie.name
angels	I-movie.name
	
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
movie	_movieNN
the	B-movie.name
campaign	I-movie.name
	
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
the	B-movie.name
campaign	I-movie.name
	
who	_whoWP
plays	_playVVZ
in	_inIN
the	_theDT
movie	_movieNN
the	B-movie.name
campaign	I-movie.name
	
who	_whoWP
starred	_starVVD
in	_inIN
the	B-movie.name
campaign	I-movie.name
	
who	_whoWP
were	_beVBD
the	_theDT
crew	_crewNN
for	_forIN
the	B-movie.name
campaign	I-movie.name
	
who	_whoWP
was	_beVBD
the	_theDT
lead	_leadJJ
man	_manNN
in	_inIN
taxi	B-movie.name
driver	I-movie.name
	
star	_starNN
of	_ofIN
twilight	B-movie.name
	
who	_whoWP
stars	_starVVZ
in	_inIN
vulgaria	B-movie.name
	
what	_whatWP
are	_beVBP
the	_theDT
names	_nameNNS
of	_ofIN
female	_femaleJJ
actors	_actorNNS
who	_whoWP
played	_playVVD
in	_inIN
lost	B-movie.name
	
can	_canMD
i	_iNNS
see	_seeVV
the	_theDT
set	_setVVN
list	_listNN
and	_andCC
cast	_castNN
for	_forIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
show	_showNN
cast	_castNN
and	_andCC
crew	_crewNN
for	_forIN
the	_theDT
movie	_movieNN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
what	_whatWP
's	_beVBZ
the	_theDT
cast	_castNN
for	_forIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
who	_whoWP
played	_playVVD
in	_inIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
who	_whoWP
played	_playVVD
in	_inIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
who	_whoWP
was	_beVBD
in	_inIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
who	_whoWP
were	_beVBD
roberto	B-actor.name
benigni	I-actor.name
's	_'sPOS
costars	_costarNNS
on	_onIN
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name
	
i	_iNNS
am	_beVBP
looking	_lookVVG
for	_forIN
the	_theDT
actor	_actorNN
that	_thatWDT
played	_playVVD
in	_inIN
pretty	B-movie.name
women	I-movie.name
	
star	_starNN
of	_ofIN
troy	B-movie.name
	
who	_whoWP
played	_playVVD
robin	B-character.name
in	_inIN
batman	B-movie.name
forever	I-movie.name
	
find	_findVV
the	_theDT
male	_maleJJ
actor	_actorNN
from	_fromIN
dirty	B-movie.name
harry	I-movie.name
	
show	_showVV
me	_mePP
the	_theDT
actor	_actorNN
of	_ofIN
the	_theDT
ranam	B-movie.name
	
rocky	B-movie.name
actor	_actorNN
	
what	_whatWP
actor	_actorNN
played	_playVVN
in	_inIN
the	B-movie.name
amazing	I-movie.name
spider	I-movie.name
man	I-movie.name
	
who	_whoWP
are	_beVBP
the	_theDT
actors	_actorNNS
in	_inIN
captain	B-movie.name
america	I-movie.name
	
who	_whoWP
starred	_starVVD
in	_inIN
captain	B-movie.name
america	I-movie.name
	
who	_whoWP
was	_beVBD
in	_inIN
the	_theDT
movie	_movieNN
captain	B-movie.name
america	I-movie.name
	
who	_whoWP
were	_beVBD
the	_theDT
cast	_castNN
members	_memberNNS
in	_inIN
the	B-movie.name
hobbist	I-movie.name
	
show	_showVV
me	_mePP
the	_theDT
actor	_actorNN
of	_ofIN
the	_theDT
movie	_movieNN
varsham	B-movie.name
	
which	_whichWDT
female	_femaleJJ
actors	_actorNNS
starred	_starVVN
in	_inIN
hitch	B-movie.name
	
can	_canMD
i	_iNNS
see	_seeVV
the	_theDT
cast	_castNN
and	_andCC
crew	_crewNN
for	_forIN
the	_theDT
movie	_movieNN
in	B-movie.name
july	I-movie.name
	
list	_listNN
cast	_castNN
and	_andCC
crew	_crewNN
in	B-movie.name
july	I-movie.name
	
who	_whoWP
stars	_starVVZ
in	_inIN
in	B-movie.name
july	I-movie.name
	
who	_whoWP
stars	_starVVZ
in	_inIN
in	B-movie.name
july	I-movie.name
	
roll	_rollNN
credits	_creditNNS
for	_forIN
top	B-movie.name
gun	I-movie.name
	
show	_showVV
me	_mePP
the	_theDT
actor	_actorNN
of	_ofIN
the	_theDT
movie	_movieNN
sirisiri	B-movie.name
muvva	I-movie.name
	
rocky	B-movie.name
2	_2CD
actor	_actorNN
	
who	_whoWP
is	_beVBZ
chewbakka	B-character.name
	
who	_whoWP
stared	_stareVVD
in	_inIN
i	B-movie.name
love	I-movie.name
lucy	I-movie.name
	
apollo	B-movie.name
thirteen	I-movie.name
cast	_castNN
members	_memberNNS
	
can	_canMD
you	_youPP
tell	_tellVV
me	_mePP
more	_moreJJR
about	_aboutIN
the	_theDT
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
the	_theDT
movie	_movieNN
apollo	B-movie.name
thirteen	I-movie.name
	
cast	_castNN
and	_andCC
crew	_crewNN
for	_forIN
apollo	B-movie.name
thirteen	I-movie.name
	
castmembers	_castmembersNNS
of	_ofIN
apollo	B-movie.name
thirteen	I-movie.name
	
complete	_completeJJ
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
apollo	B-movie.name
thirteen	I-movie.name
	
find	_findVV
for	_forIN
information	_informationNN
about	_aboutIN
the	_theDT
cast	_castNN
of	_ofIN
appolo	B-movie.name
thirteen	I-movie.name
	
find	_findVV
info	_infoNN
on	_onIN
the	_theDT
crew	_crewNN
of	_ofIN
apollo	B-movie.name
thirteen	I-movie.name
	
give	_giveVV
me	_mePP
more	_moreJJR
facts	_factNNS
about	_aboutIN
the	_theDT
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
the	_theDT
movie	_movieNN
apollo	B-movie.name
thirteen	I-movie.name
	
i	_iNNS
need	_needVVP
to	_toTO
know	_knowVV
in	_inIN
detail	_detailNN
about	_aboutIN
the	_theDT
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
the	_theDT
movie	_movieNN
apollo	B-movie.name
thirteen	I-movie.name
	
i	_iNNS
want	_wantVVP
to	_toTO
find	_findVV
information	_informationNN
about	_aboutIN
the	_theDT
cast	_castNN
of	_ofIN
apollo	B-movie.name
thirteen	I-movie.name
	
show	_showVV
me	_mePP
more	_moreJJR
information	_informationNN
about	_aboutIN
the	_theDT
cast	_castNN
and	_andCC
crew	_crewNN
of	_ofIN
the	_theDT
